FACILITYID,flood_risk,wildfire_risk,lst_avg,percent_tree_cover,flood_risk_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,percent_tree_cover_pcntl,climate_score,mean_ozone,matched_fips,dist_to_tract_m,avg_pm25,pesticide_mean_kg,trafficProx,mean_ozone_pcntl,dist_to_tract_m_pcntl,avg_pm25_pcntl,pesticide_mean_kg_pcntl,trafficProx_pcntl,exposure_score,npl_prox,rmp_prox,haz_prox,npl_prox_pcntl,rmp_prox_pcntl,haz_prox_pcntl,effects_score,final_risk_score,final_risk_score_pcntl,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape__Are,Shape__Len
10004639,57.02293230711874,0.1836734693877551,41.39000000000004,6.329221756558845,96.08076009501187,4.2682926829268295,84.64163822525597,69.81613891726252,39.45550691013829,56.798,12011030804,441,7.791666626930237,0,603.7515809659095,23.323170731707318,16.971544715447155,54.52235772357723,4.081632653061225,92.83536585365853,24.128270451588318,0.25101058928810943,1.834821368161032,0.8834693512677857,92.1239837398374,87.04268292682927,72.2560975609756,83.3668055257327,48.9835276291531,66.15853658536585,6,TURNING POINT WORK RELEASE,400 SW 2ND STREET,POMPANO BEACH,FL,33060,6822,(954) 884-3562,STATE,OPEN,-999,BROWARD,12011,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024-02-15,IMAGERY/OTHER,2024-04-01,https://bridgesinternational.net/turning-point-bridge,MINIMUM,99,7.64767719e-7,0.003444123096628
10000450,37.524599297226366,849.468085106383,33.01000000000005,55.88226468523801,90.43942992874109,96.59552845528455,49.31740614334471,9.448416751787539,44.917805127258006,57.301,12127083207,5776,7.024999976158142,56.80160140991211,214.5614294327476,28.65853658536585,84.95934959349594,30.03048780487805,65.15306122448979,83.63821138211382,52.48961987682122,0.0629936257728686,0.1924164935993181,0.15173280580767437,68.59756097560977,49.59349593495935,45.78252032520325,53.803562378742015,50.40366246094042,70.42682926829268,15,TOMOKA CRC,3601 US HWY 92 WEST,DAYTONA BEACH,FL,32124,1002,(386) 254-1187,STATE,OPEN,-999,VOLUSIA,12127,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024-02-15,IMAGERY/OTHER,2024-04-01,https://smahealthcare.org/services/volusia-county/,MINIMUM,-999,9.41440021e-7,0.003800922266251
10006936,0,1582.468085106383,42.450000000000045,2.0244819927117037,21.08076009501188,98.42479674796748,86.91695108077361,82.17568947906027,62.045409915563994,42.443,06045990100,3812747,2.3777777353922525,43.03015899658203,0,0.5589430894308943,99.94918699186992,0.660569105691057,54.18367346938775,53.40447154471545,10.132164601549036,0.08496665096598648,1.700207044825074,1.091346584455284,74.28861788617887,85.8739837398374,75.50813008130082,78.38973593145735,50.189103482856794,69.8678861788618,39,HALE HO'OMALU (KAPOLEI) JUVENILE DETENTION FACILITY,287 KAMOKILA BLVD,KAPOLEI,HI,96707,-999,(808) 954-8400,STATE,OPEN,-999,HONOLULU,15003,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.courts.state.hi.us/courts/family/family_court_programs,2024-02-21,IMAGERY,2024-02-21,NOT AVAILABLE,JUVENILE,-999,4.89538479e-7,0.003042321893183
10004024,36.22342217711111,44.22727272727273,32.950000000000045,24.76061675008072,89.66745843230403,45.9349593495935,48.57792946530148,39.8876404494382,53.15129933247337,57.685,54057010100,2672,8.419999885559083,22.448083877563477,0,31.96138211382114,61.33130081300813,75.96544715447155,31.428571428571427,53.40447154471545,47.815116442029804,0.18903097901945895,1.1548094299722105,0.49282591807792697,88.6178861788618,80.23373983739837,65.65040650406505,77.57205213338702,59.512822635963396,91.92073170731707,40,FCI CUMBERLAND,14601 BURBRIDGE RD SE,CUMBERLAND,MD,21502,-999,(301) 784-1000,FEDERAL,OPEN,787,ALLEGANY,24001,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bop.gov/locations/institutions/cum/,2016-02-16,IMAGERY/OTHER,2024-01-19,https://www.bop.gov/locations/institutions/cum/,MEDIUM,-999,1.7568729845e-5,0.016258292809185
10004650,37.92889280900665,12.696428571428571,40.74000000000001,6.764765604349515,90.85510688836105,29.115853658536583,83.67463026166098,68.69254341164454,62.44469771511352,56.332,12086009325,601,8.983333349227905,107.74504852294922,16168.671419223365,19.715447154471544,22.25609756097561,87.09349593495935,85.40816326530613,100,50.43687271206091,0.14828977854968828,1.0400771885779718,2.9979091294776614,84.1971544715447,78.60772357723577,87.14430894308943,83.24034817009253,65.37397286575566,97.35772357723577,45,OPA LOCKA COMMUNITY RELEASE CENTER,5400 NORTHWEST 135TH STREET,OPA LOCKA,FL,33054,4310,(305) 827-4057,STATE,OPEN,-999,MIAMI-DADE,12086,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024-02-15,IMAGERY/OTHER,2024-04-01,NOT AVAILABLE,NOT AVAILABLE,-999,1.847857675e-6,0.006800685218319
10006939,0,0.02222222222222222,NA,6.402985472080172,21.08076009501188,2.33739837398374,NA,69.3564862104188,15.062672329993324,61.584500000000006,18163002100,121,9.675000190734863,22.56174087524414,254.27379569922505,68.85162601626016,5.233739837398374,93.03861788617887,31.734693877551017,85.41666666666666,39.05649829040471,0.8939960679852785,0.8712559170480543,5.985191358190533,98.17073170731707,75.8130081300813,92.88617886178862,88.42171853260197,47.51362971766667,61.4329268292683,47,HOPE HALL,811 E FRANKLIN ST,EVANSVILLE,IN,47711,-999,(812) 423-1949,STATE,OPEN,-999,VANDERBURGH,18163,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.in.gov/idoc/2850.htm,2020-04-22,IMAGERY,2024-04-02,https://www.in.gov/idoc/2850.htm,NOT AVAILABLE,100,1.60388254e-7,0.002065814788049
10006303,16.400906279376795,69.01851851851852,30.31,54.78979527673864,71.43705463182897,53.506097560975604,24.118316268486918,10.265577119509704,31.189922330159522,56.96,51147930201,2100,6.633333444595337,25.687355041503903,0,25.050813008130078,54.11585365853659,22.103658536585368,36.224489795918366,53.40447154471545,35.69752284528459,0.04604939283886223,0.03774620298134193,0.02287148900809136,59.45121951219512,8.689024390243901,5.589430894308943,14.239665635734292,27.0423702703928,6.707317073170732,48,FARMVILLE DETENTION CENTER,508 WATERWORKS RD,FARMVILLE,VA,23901,-999,(434) 395-8114,FEDERAL,OPEN,185,PRINCE EDWARD,51147,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ice.gov/detain/detention-management,2024-04-02,IMAGERY/OTHER,2024-04-02,http://ica-farmville.com/,NOT AVAILABLE,-999,2.878820624e-6,0.007346390182057
10001082,20.822909070152587,8.68421052631579,31.06000000000003,12.23201179386377,77.31591448931117,24.23780487804878,31.62684869169511,58.42696629213483,43.13778682599807,58.904,19105070300,1046,8.108333587646484,16.63983726501465,78.66642447739808,45.985772357723576,34.552845528455286,64.380081300813,22.908163265306122,73.83130081300813,44.424026841649265,0.01477842209383735,0.3732025566604252,0.04032888032744858,18.34349593495935,63.71951219512195,16.920731707317074,27.043188574518958,38.20166741405543,28.506097560975608,58,ANAMOSA STATE PENITENTIARY,406 N HIGH ST,ANAMOSA,IA,52205,-999,(319) 462-3504,STATE,OPEN,927,JONES,19105,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc-search.iowa.gov/dailystatistics,2024-02-23,IMAGERY/OTHER,2024-02-23,https://doc.iowa.gov/find-facility/asp,MAXIMUM,908,6.115857332e-6,0.009984459679413
10001091,1.879589793695983,11.42622950819672,32.18363636363639,16.234314963581305,31.947743467933492,28.04878048780488,41.75199089874857,52.14504596527069,37.37327047990894,60.354,19103000301,966,9.293333625793457,16.082962036132813,84.20262065940614,58.790650406504064,33.38414634146341,90.4979674796748,22.397959183673468,74.84756097560977,49.51932241149372,0.01188097109043314,1.2951383645258585,1.625597436318566,11.991869918699187,82.3170731707317,80.74186991869918,43.03533726105241,43.309310050818354,45.985772357723576,59,IOWA MEDICAL & CLASSIFICATION CENTER,2700 CORAL RIDGE AVE,CORALVILLE,IA,52241,-999,(319) 626-2391,STATE,OPEN,887,JOHNSON,19103,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc-search.iowa.gov/dailystatistics,2024-02-23,IMAGERY/OTHER,2024-02-23,https://doc.iowa.gov/find-facility/iciw,MEDIUM,585,9.910651215e-6,0.012841815865509
10000356,30.40784601544902,165.1818181818182,32.89200000000004,52.400559776148405,86.28266033254157,73.6788617886179,48.122866894197955,11.542390194075587,43.34893376740407,55.6225,12059960401,1349,8.65000025431315,42.133880615234375,42.23351543226004,14.07520325203252,41.61585365853659,81.04674796747967,53.41836734693878,66.71747967479675,44.22581690937169,0.04016168891715206,0.02662651056856971,0.02626469339269601,54.82723577235772,4.166666666666666,7.8760162601626025,12.162716137787333,33.24582227152103,15.396341463414634,73,HOLMES CORRECTIONAL INSTITUTION,3142 THOMAS DR,BONIFAY,FL,32425,0190,(850) 547-8600,STATE,OPEN,-999,HOLMES,12059,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024-02-14,IMAGERY/OTHER,2024-02-14,https://fdc.myflorida.com/ci/107.html,CLOSE,1185,1.3025672843e-5,0.014558767423558
10003943,9.20584460775182,352.7142857142857,NA,48.58783102894208,58.313539192399055,89.22764227642277,NA,14.913176710929521,42.65268028789739,60.178,13275960900,3544,9.00000031789144,189.17079162597656,11.277470324965284,57.62195121951219,71.39227642276423,87.29674796747967,98.72448979591837,56.09756097560976,72.39710943281675,0.01991252875036393,0.6207687528979962,0.16607667727705014,30.89430894308943,70.32520325203252,48.11991869918699,47.10909798281385,54.05296256784266,80.28455284552845,77,JUDGE THOMAS JEFFERSON LOFTISS II RYDC,101 OAKWOOD TRACE,THOMASVILLE,GA,31792,7128,(229) 227-2790,STATE,OPEN,-999,THOMAS,13275,USA,922140,CORRECTIONAL INSTITUTIONS,https://djj.georgia.gov/locations/regional-youth-detention-centers,2024-02-20,IMAGERY/OTHER,2024-02-20,https://djj.georgia.gov/locations/judge-thomas-jefferson-loftiss-ii-rydc-formerly-thomasville-rydc,JUVENILE,-999,9.41393182e-7,0.004690281168142
10002237,1.0532483938443182,158.75510204081633,39.39000000000004,1.433320332179481,28.08788598574822,73.01829268292683,79.74971558589306,84.72931562819204,61.013844695315115,62.427,08067940300,3633,4.266666769981384,30.15847396850586,0,75.3048780487805,72.10365853658537,3.556910569105691,41.07142857142857,53.40447154471545,33.52695855277025,0.01322662065862552,0.09202634848905332,0.1033273125436591,15.142276422764228,29.065040650406505,36.73780487804878,25.28667747582312,39.94249357463616,34.29878048780488,83,SOUTHERN UTE TRIBAL DETENTION CENTER,149 COUNTY ROAD 517,IGNACIO,CO,81137,-999,(970) 563-0379,FEDERAL,OPEN,-999,LA PLATA,08067,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.southernute-nsn.gov/justice-and-regulatory/detention/,2024-02-05,IMAGERY/OTHER,2024-02-05,https://www.southernute-nsn.gov/justice-and-regulatory/detention/,NOT AVAILABLE,-999,6.63491164e-7,0.003921230271586
